date,nlikes,nretweets,nreplies,comp,pos,neutral,neg
2022-07-06,-0.9930138562546534,-0.9949820987997848,-0.987791667886524,0,0.0695,0.8795000000000001,0.051
2022-07-07,-0.9585143929065258,-0.9738252917060864,-0.933893491817197,0,0.0,1.0,0.0
2022-07-08,-0.9955063060623934,-0.9978265036699007,-0.9927394091987001,0,0.14333333333333334,0.8333333333333334,0.023333333333333334
2022-07-09,-0.9998530250727623,-0.9998701467341904,-0.9991802558772725,0,0.115,0.724,0.162
2022-07-10,-0.9871309914039006,-0.9913833082902035,-0.9727727844951255,0,0.0,1.0,0.0
2022-07-11,-0.9890278059802035,-0.9892654633597369,-0.9719237637965864,0,0.054833333333333324,0.8876666666666667,0.057499999999999996
2022-07-12,-0.9989982498380375,-0.9992626189548667,-0.9971016189946423,0,0.042749999999999996,0.9005,0.057
2022-07-13,-0.9935261412313018,-0.9956406403621051,-0.9819070761483737,0,0.07980000000000001,0.8378,0.08259999999999999
2022-07-14,-0.9552151925661629,-0.9674995826145028,-0.99619404514448,-1,0.0,0.887,0.113
2022-07-15,-0.9919246670617309,-0.9940585505725469,-0.9695523611558392,0,0.09085714285714286,0.8928571428571429,0.016285714285714285
2022-07-16,-0.9754345590913339,-0.9764470909776715,-0.9461896536581081,0,0.031,0.969,0.0
2022-07-18,-0.9998046780572235,-0.9999257981338231,-0.9987118306642855,-1,0.0315,0.8075,0.161
2022-07-19,-0.9915489416838299,-0.9947687684345261,-0.9700207863688263,0,0.0,0.955,0.045
2022-07-20,-0.9536004022471692,-0.9816072124213924,-0.9481219076616799,0,0.2265,0.7735000000000001,0.0
2022-07-21,-0.9848113015983523,-0.986816801775898,-0.9738267412243464,0,0.0,0.9109999999999999,0.08900000000000001
2022-07-22,-0.9997601988029279,-0.9997031925352923,-0.9942032379892848,1,0.714,0.286,0.0
2022-07-23,-0.9917287925816339,-0.9931177769120894,-0.9714553385835992,0,0.087,0.913,0.0
2022-07-24,-0.9967704193620128,-0.9978666963474131,-0.9924466434405832,0,0.165,0.64,0.195
2022-07-25,-0.9820961332056972,-0.9846587641679189,-0.9607108352607079,1,0.401,0.599,0.0
2022-07-26,-0.9992032411839217,-0.9993229079711354,-0.9953157478701291,0,0.118,0.882,0.0
2022-07-27,-0.977098985679614,-0.9837757619604134,-0.9454635945779781,0,0.035199999999999995,0.8844000000000001,0.0804
2022-07-28,-0.9837167251665555,-0.9870332238855807,-0.965570746845449,0,0.035666666666666666,0.9183333333333333,0.046000000000000006
2022-07-29,-0.9990838931227062,-0.9995441885363417,-0.995943103066094,0,0.11,0.798,0.092
2022-07-30,-0.9808816561753643,-0.9873300313502884,-0.9533038615803495,0,0.206,0.794,0.0
2022-07-31,-0.9983871435616279,-0.9993878346040402,-0.9924466434405832,0,0.0,1.0,0.0
2022-08-01,-0.9913188098898655,-0.9946203647021723,-0.9728020610709371,0,0.1165,0.8835,0.0
2022-08-03,-0.9990756050628995,-0.999604256713723,-0.9979701574103892,0,0.0,0.9550000000000001,0.045000000000000005
2022-08-05,-0.9968413283181363,-0.9984417608102844,-0.9932859052805183,0,0.06833333333333334,0.908,0.023666666666666666
2022-08-06,-0.9934248058867327,-0.9951768786984992,-0.9713089557045408,-1,0.052,0.759,0.188
2022-08-07,-0.9999883967162707,-1.0,-0.9998243405451298,-1,0.0,0.851,0.149
2022-08-12,-0.9354006517177694,-0.9101229895931883,-0.913868313961999,0,0.03,0.907,0.063
2022-08-13,-0.9985505564741488,-0.9992301556384143,-0.9954328541733759,1,0.28750000000000003,0.619,0.0935
2022-08-14,-0.9894139374776395,-0.995714842228282,-0.9831952454840882,0,0.0,1.0,0.0
2022-08-15,-0.9959968671133931,-0.9977832192479641,-0.9980384694206166,0,0.027,0.9430000000000001,0.03
2022-08-16,-0.9866291493826086,-0.9868013430537778,-0.9987118306642855,0,0.076,0.906,0.018
2022-08-17,-0.9863351995281331,-0.9897230415344946,-0.9506982463331088,0,0.079,0.921,0.0
2022-08-18,-0.9998336862665468,-0.9997959448680134,-0.9985361712094154,0,0.0,0.732,0.268
2022-08-20,-0.9987402149093908,-0.9996210404691678,-0.9960351151615021,0,0.10414285714285716,0.7919999999999999,0.104
2022-08-21,-0.9966350477185043,-0.998651999431119,-0.9857325487211015,0,0.10866666666666665,0.831,0.06033333333333333
2022-08-22,-0.9706475599261257,-0.990149702265012,-0.9670345756360336,0,0.244,0.756,0.0
2022-08-23,-0.9792881385432077,-0.9824234329493386,-0.9363820007611909,0,0.029,0.9255,0.0455
2022-08-24,-0.9998452895502761,-0.9998330458011019,-0.9968966829639605,1,0.231,0.769,0.0
2022-08-25,-0.9798180218335122,-0.9867271411876009,-0.9405978276780748,0,0.088,0.9119999999999999,0.0
2022-08-26,-0.9944899873330819,-0.9967722188213034,-0.9713440875955147,0,0.0764,0.9059999999999999,0.017599999999999998
2022-08-27,-0.9868302729672497,-0.9845799246851058,-0.9894750709956963,0,0.03475,0.8455000000000001,0.11975
2022-08-28,-0.9820100755180383,-0.9861381638748214,-0.9825365225283251,0,0.02325,0.945,0.03175
2022-08-29,-0.9982749784855781,-0.9984974122099171,-0.9858594138829523,1,0.2305,0.7695000000000001,0.0
2022-08-30,-0.996726584734591,-0.9979347147247419,-0.9813020269149321,0,0.09866666666666667,0.8176666666666668,0.08366666666666667
2022-08-31,-0.9999303802976243,-0.9999628990669115,-0.9999414468483766,1,0.199,0.8009999999999999,0.0
2022-09-01,-0.9941519450004351,-0.9956777412951936,-0.9953352655873369,0,0.12533333333333332,0.7719999999999999,0.10266666666666667
2022-09-02,-0.9971610632475657,-0.9992579813382306,-0.9831366923324648,1,0.369,0.631,0.0
2022-09-03,-0.9900985312176679,-0.9897647800842191,-0.9687033404573001,0,0.092,0.8819999999999999,0.026
2022-09-04,-0.9981589456482851,-0.9992023299385979,-0.9883186462511344,0,0.1485,0.7324999999999999,0.119
2022-09-06,-0.9839913362148155,-0.9895282616357801,-0.9958720028105513,0,0.027,0.7685,0.20450000000000002
2022-09-07,-0.987931295667785,-0.990866986971389,-0.9857911018727249,0,0.06966666666666667,0.9303333333333333,0.0
2022-09-08,-0.9997924301466204,-0.9998825137118865,-0.9987118306642855,0,0.17433333333333334,0.805,0.020666666666666667
2022-09-09,-0.999232249393245,-0.9988591463075296,-0.9965160874784085,0,0.222,0.778,0.0
2022-09-10,-0.9912859339192992,-0.9928209694473816,-0.9680299792136312,0,0.0,1.0,0.0
2022-09-11,-0.9912337191425173,-0.9931270521453615,-0.9777205258073016,0,0.0585,0.9415,0.0
2022-09-12,-0.9938061671453021,-0.9955627284026194,-0.9981028778874022,0,0.081,0.9190000000000002,0.0
2022-09-14,-0.9890449530550479,-0.9910327044725175,-0.9777263811224638,0,0.121,0.8434000000000001,0.0356
2022-09-15,-0.24117231843278314,-0.12925965088021965,-0.291682524811898,1,0.228,0.772,0.0
